"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C131","0603","299.434mm","168.167mm","300.99mm","168.275mm","298.634mm","168.167mm","T","270.00","1nF"
"C132","0805","281.813mm","185.674mm","282.956mm","185.674mm","280.67mm","185.674mm","T","180.00","100nF"
"C134","0805","280.289mm","177.165mm","279.146mm","177.165mm","281.432mm","177.165mm","T","360.00","100nF"
"C136","0805","294.005mm","185.039mm","292.862mm","185.039mm","295.148mm","185.039mm","T","360.00","100nF"
"C137","0805","295.021mm","175.768mm","293.878mm","175.768mm","296.164mm","175.768mm","T","360.00","100nF"
"C138","0603","299.434mm","185.058mm","300.99mm","185.166mm","298.634mm","185.058mm","T","270.00","1nF"
"C139","0805","300.355mm","176.657mm","299.212mm","176.657mm","301.498mm","176.657mm","T","360.00","100nF"
"C140","0805","308.991mm","178.689mm","308.991mm","179.832mm","308.991mm","177.546mm","T","270.00","100nF"
"C142","0603","287.889mm","185.274mm","286.333mm","185.166mm","288.689mm","185.274mm","T","90.00","10nF"
"C143","0805","281.686mm","252.603mm","282.829mm","252.603mm","280.543mm","252.603mm","T","180.00","100nF"
"C145","0805","280.162mm","244.475mm","279.019mm","244.475mm","281.305mm","244.475mm","T","360.00","100nF"
"C147","0805","294.386mm","252.603mm","293.243mm","252.603mm","295.529mm","252.603mm","T","360.00","100nF"
"C148","0805","294.894mm","243.586mm","293.751mm","243.586mm","296.037mm","243.586mm","T","360.00","100nF"
"C149","0603","299.18mm","252.749mm","300.736mm","252.857mm","298.38mm","252.749mm","T","270.00","1nF"
"C150","0805","300.101mm","244.348mm","298.958mm","244.348mm","301.244mm","244.348mm","T","360.00","100nF"
"C151","0805","308.991mm","245.999mm","308.991mm","247.142mm","308.991mm","244.856mm","T","270.00","100nF"
"C153","0805","281.686mm","232.664mm","282.829mm","232.664mm","280.543mm","232.664mm","T","180.00","100nF"
"C155","0805","280.162mm","224.028mm","279.019mm","224.028mm","281.305mm","224.028mm","T","360.00","100nF"
"C157","0805","293.878mm","232.156mm","292.735mm","232.156mm","295.021mm","232.156mm","T","360.00","100nF"
"C158","0603","288.068mm","252.965mm","286.512mm","252.857mm","288.868mm","252.965mm","T","90.00","10nF"
"C159","0603","288.016mm","232.518mm","286.46mm","232.41mm","288.816mm","232.518mm","T","90.00","10nF"
"C160","0805","295.021mm","222.758mm","293.878mm","222.758mm","296.164mm","222.758mm","T","360.00","100nF"
"C161","0603","299.18mm","232.175mm","300.736mm","232.283mm","298.38mm","232.175mm","T","270.00","1nF"
"C162","0805","300.077mm","223.496mm","298.934mm","223.496mm","301.22mm","223.496mm","T","360.00","100nF"
"C163","0805","308.991mm","225.171mm","308.991mm","226.314mm","308.991mm","224.028mm","T","270.00","100nF"
"K14","Relay_OMRON5V","265.43mm","163.449mm","262.89mm","168.529mm","262.89mm","168.529mm","T","0.00","Relay"
"K15","Relay_OMRON5V","265.43mm","180.467mm","262.89mm","185.547mm","262.89mm","185.547mm","T","0.00","Relay"
"K16","Relay_OMRON5V","265.43mm","248.285mm","262.89mm","253.365mm","262.89mm","253.365mm","T","0.00","Relay"
"K17","Relay_OMRON5V","265.43mm","227.965mm","262.89mm","233.045mm","262.89mm","233.045mm","T","0.00","Relay"
"R60","0603","276.3084mm","168.548mm","277.8644mm","168.656mm","275.5084mm","168.548mm","T","270.00","9.1K"
"R61","0603","276.3204mm","170.669mm","274.7644mm","170.561mm","277.1204mm","170.669mm","T","90.00","1K"
"R62","0603","287.929mm","162.579mm","289.485mm","162.687mm","287.129mm","162.579mm","T","270.00","1K"
"R63","0603","287.929mm","160.547mm","289.485mm","160.655mm","287.129mm","160.547mm","T","270.00","1K"
"R64","0603","287.941mm","164.573mm","286.385mm","164.465mm","288.741mm","164.573mm","T","90.00","1K"
"R65","0603","287.941mm","166.605mm","286.385mm","166.497mm","288.741mm","166.605mm","T","90.00","1K"
"R66","0603","299.446mm","166.097mm","297.89mm","165.989mm","300.246mm","166.097mm","T","90.00","2.2K"
"R67","0603","276.499mm","185.82mm","278.055mm","185.928mm","275.699mm","185.82mm","T","270.00","9.1K"
"R68","0603","276.511mm","187.941mm","274.955mm","187.833mm","277.311mm","187.941mm","T","90.00","1K"
"R69","0603","287.877mm","179.4923mm","289.433mm","179.6002mm","287.077mm","179.4923mm","T","270.00","1K"
"R70","0603","287.877mm","177.565mm","289.433mm","177.673mm","287.077mm","177.565mm","T","270.00","1K"
"R71","0603","287.889mm","181.4195mm","286.333mm","181.3115mm","288.689mm","181.4195mm","T","90.00","1K"
"R72","0603","287.889mm","183.3467mm","286.333mm","183.2388mm","288.689mm","183.3467mm","T","90.00","1K"
"R73","0603","299.446mm","182.988mm","297.89mm","182.88mm","300.246mm","182.988mm","T","90.00","2.2K"
"R74","0603","276.499mm","253.511mm","278.055mm","253.619mm","275.699mm","253.511mm","T","270.00","9.1K"
"R75","0603","276.511mm","255.759mm","274.955mm","255.651mm","277.311mm","255.759mm","T","90.00","1K"
"R76","0603","288.056mm","247.088mm","289.612mm","247.196mm","287.256mm","247.088mm","T","270.00","1K"
"R77","0603","288.056mm","245.129mm","289.612mm","245.237mm","287.256mm","245.129mm","T","270.00","1K"
"R78","0603","288.068mm","249.047mm","286.512mm","248.939mm","288.868mm","249.047mm","T","90.00","1K"
"R79","0603","288.068mm","251.006mm","286.512mm","250.898mm","288.868mm","251.006mm","T","90.00","1K"
"R80","0603","299.244mm","250.806mm","297.688mm","250.698mm","300.044mm","250.806mm","T","90.00","2.2K"
"R81","0603","276.574mm","233.064mm","278.13mm","233.172mm","275.774mm","233.064mm","T","270.00","9.1K"
"R82","0603","276.511mm","235.185mm","274.955mm","235.077mm","277.311mm","235.185mm","T","90.00","1K"
"R83","0603","288.004mm","226.4505mm","289.56mm","226.5585mm","287.204mm","226.4505mm","T","270.00","1K"
"R84","0603","288.004mm","224.428mm","289.56mm","224.536mm","287.204mm","224.428mm","T","270.00","1K"
"R85","0603","288.016mm","228.473mm","286.46mm","228.365mm","288.816mm","228.473mm","T","90.00","1K"
"R86","0603","288.016mm","230.4955mm","286.46mm","230.3875mm","288.816mm","230.4955mm","T","90.00","1K"
"R87","0603","299.192mm","230.232mm","297.636mm","230.124mm","299.992mm","230.232mm","T","90.00","2.2K"
"U32","SO-8N","280.1064mm","164.45mm","277.3564mm","166.37mm","277.3564mm","166.37mm","T","0.00","ADA4522-2"
"U33","SO-8N","293.834mm","163.18mm","291.084mm","165.1mm","291.084mm","165.1mm","T","0.00","AD4522-1"
"U34","RM-10","304.0634mm","161.56mm","301.6134mm","162.56mm","301.6134mm","162.56mm","T","360.00","AD7791"
"U35","SO-8N","280.118mm","181.341mm","277.368mm","183.261mm","277.368mm","183.261mm","T","0.00","ADA4522-2"
